Part,X,Y,Rotation,Side,Type,XSize,YSize,Value,Footprint
C15,1936.023622047244,1068.4899606299214,180,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
M190,1982.283464566929,4351.377952755905,0,top,PTH,255.90551181102362,255.90551181102362,,
C11,1617.4570078740157,1691.9291338582677,180,top,SMD,109.08307086614174,51.996456692913384,10uF,0805
C16,2206.855039370079,786.0096456692913,180,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
J6,2380.9055118110236,4891.7322834645665,180,top,PTH,361.81102362204723,192.71653543307087,,HDR10
C33,518.7007874015748,4598.425196850394,180,top,SMD,156.3271653543307,65.77598425196851,10nF,1206
D11,2156.0883858267716,2699.803149606299,270,top,SMD,93.33503937007875,34.27992125984252,,0603
C9,2067.9133858267714,1751.9685039370079,0,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C83,1792.3379527559055,680.1181102362204,180,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C76,1448.8188976377953,1108.267716535433,180,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C5,2205.877559055118,2225.3937007874015,0,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C77,431.4428346456693,1367.1259842519685,0,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C62,1311.023622047244,3453.740157480315,0,top,SMD,93.33503937007875,34.27992125984252,50pF,0603
R12,447.8346456692913,3659.448818897638,270,top,SMD,156.3271653543307,65.77598425196851,100K,1206
C24,2551.181102362205,1086.206496062992,270,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
X1,2575.379724409449,664.3700787401575,0,top,SMD,118.11023622047244,114.1732283464567,,XTAL_SMD_3MM2_2MM5
U169,707.6771653543307,625.9842519685039,180,top,SMD,282.31141732283464,245.33811023622047,,TSSOP20
U160,1716.5354330708662,536.4173228346457,0,top,SMD,271.8976377952756,192.54984251968503,,SOP65P640X120-16N
J13,964.9606299212599,1458.6614173228347,0,top,PTH,330.51181102362204,91.53543307086615,,CONN_SIL_SOCKET
R45,2419.6990157480313,749.4234251968504,270,top,SMD,93.33503937007875,34.27992125984252,10K,0603
R13,1311.5118110236222,4483.675393700787,180,top,SMD,93.33503937007875,34.27992125984252,280,0603
D7,601.3779527559055,2160.433070866142,270,top,SMD,141.73228346456693,43.30708661417323,15pF,0805 (2012 metric)
SW94,274.6062992125984,2944.8818897637793,270,top,SMD,232.28346456692913,440.9448818897638,,SW_6MM2_6MM2_SMT_4
C86,500.0,641.7322834645669,270,top,SMD,109.08307086614174,51.996456692913384,10uF,0805
C58,1043.3070866141732,4167.7305118110235,270,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
U119,1337.5984251968505,1295.275590551181,270,top,SMD,287.6456692913386,194.12464566929134,,TSSOP16
R30,710.6299212598425,2568.8976377952754,90,top,SMD,93.33503937007875,34.27992125984252,649R,0603
J9,234.251968503937,1212.5984251968505,270,top,PTH,361.81102362204723,192.71653543307087,,HDR10
U40,888.7795275590552,4730.708661417323,0,top,SMD,256.1496062992126,171.34377952755906,,SO
C18,2093.1729133858266,1398.6220472440946,180,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C53,1571.8503937007874,4222.44094488189,270,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C10,1620.731968503937,1753.9370078740158,180,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C14,2472.4409448818897,1802.1653543307086,180,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C93,1106.2992125984251,4167.7305118110235,270,top,SMD,93.33503937007875,34.27992125984252,1nF,0603
M189,706.6929133858267,4348.425196850394,0,top,PTH,255.90551181102362,255.90551181102362,,
C72,2596.4566929133857,3230.314960629921,90,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C82,2382.297440944882,453.3324803149606,270,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
R38,1512.7952755905512,1505.9055118110236,180,top,SMD,93.33503937007875,34.27992125984252,1.8K,0603
C20,2470.803464566929,693.321062992126,270,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
R34,2343.7866535433072,4644.108464566929,90,top,SMD,93.33503937007875,34.27992125984252,10K,0603
U182,2408.464566929134,1654.5275590551182,0,top,SMD,293.0406692913386,180.2440157480315,,SO8
C90,798.2283464566929,3196.850393700787,90,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C80,1857.283464566929,1247.0472440944882,90,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
U1,1664.3700787401574,2254.9212598425197,0,top,SMD,904.1279133858268,880.7365748031496,,TQFP144
D10,406.496062992126,680.511811023622,270,top,SMD,120.07874015748031,29.921259842519685,,0603 (1608 metric)
C19,2580.7086614173227,866.4273622047244,0,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C40,489.1732283464567,4040.3543307086616,0,top,SMD,156.3271653543307,65.77598425196851,10nF,1206
D9,295.838188976378,644.0945275590551,270,top,SMD,120.07874015748031,29.921259842519685,,0603 (1608 metric)
C97,2064.9606299212596,2774.6062992125985,90,top,SMD,109.08307086614174,51.996456692913384,4.7uF,0805
R22,1730.3149606299212,3595.472440944882,180,top,SMD,93.33503937007875,34.27992125984252,18R,0603
R54,1118.1102362204724,515.7480314960629,270,top,SMD,156.3271653543307,65.77598425196851,100R,1206
J12,90.55118110236221,695.8661417322835,270,top,SMD,304.13377952755906,166.33850393700789,,CONN_USB_2.0
C88,1029.5275590551182,536.4173228346457,270,top,SMD,109.08307086614174,51.996456692913384,10uF,0805
C51,1230.7147637795276,3979.231692913386,180,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C64,1550.365748031496,3495.4864173228348,90,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C1,1128.9370078740158,2520.0927165354333,90,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C68,1631.8897637795276,3460.6299212598424,180,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C39,488.18897637795277,3824.803149606299,0,top,SMD,156.3271653543307,65.77598425196851,10nF,1206
R55,1113.1889763779527,755.9055118110236,90,top,SMD,156.3271653543307,65.77598425196851,100R,1206
U179,898.6220472440945,3204.7244094488187,90,top,SMD,231.62023622047244,94.48818897637796,,MSOP8
C84,903.5433070866142,545.2755905511812,270,top,SMD,93.33503937007875,34.27992125984252,10nF,0603
R26,707.6771653543307,2958.6614173228345,90,top,SMD,93.33503937007875,34.27992125984252,649R,0603
R7,2578.740157480315,1465.5511811023623,180,top,SMD,93.33503937007875,34.27992125984252,2.2K,0603
C74,2471.4566929133857,4424.212598425197,90,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C25,2551.181102362205,1204.8865354330708,90,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
U134,924.2125984251968,2284.448818897638,0,top,SMD,173.70582677165353,93.10740157480315,,TSSOP8
J3,267.7165354330709,4340.5511811023625,0,top,PTH,361.81102362204723,192.71653543307087,,HDR10
R37,1232.6620866141732,1100.3937007874015,0,top,SMD,93.33503937007875,34.27992125984252,1.8K,0603
L1,305.11811023622045,4972.44094488189,0,top,SMD,137.79527559055117,39.37007874015748,,0805 (2012 metric)
R48,2370.486456692913,749.4234251968504,90,top,SMD,93.33503937007875,34.27992125984252,10K,0603
C85,1003.5293307086614,732.2834645669292,90,top,SMD,109.08307086614174,51.996456692913384,4.7uF,0805
U89,2276.5748031496064,3247.047244094488,0,top,SMD,482.9212598425197,680.5444881889764,,SOP80P1176X120-44N
J7,964.5669291338583,1681.1023622047244,0,top,PTH,361.81102362204723,192.71653543307087,,HDR10
R32,1192.7444881889764,632.8740157480315,0,top,SMD,93.33503937007875,34.27992125984252,2K2,0603
C65,1504.27468503937,3497.047244094488,90,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C32,520.6692913385826,4750.0,180,top,SMD,156.3271653543307,65.77598425196851,10nF,1206
C42,452.755905511811,3330.7086614173227,90,top,SMD,109.08307086614174,51.996456692913384,1uF,0805
R51,489.15925196850395,482.2382283464567,270,top,SMD,93.33503937007875,34.27992125984252,1M,0603
D3,1828.740157480315,4733.675393700787,0,top,SMD,114.1732283464567,141.73228346456693,,SOT-23-3
R15,1383.976377952756,3983.9700787401575,270,top,SMD,93.33503937007875,34.27992125984252,10K,0603
C31,480.31496062992125,4974.4094488188975,0,top,SMD,109.08307086614174,51.996456692913384,1uF,0805
R41,1373.0314960629921,1506.8897637795276,0,top,SMD,93.33503937007875,34.27992125984252,1.8K,0603
R3,2264.763779527559,1824.8031496062993,0,top,SMD,93.33503937007875,34.27992125984252,10K,0603
SW100,274.6062992125984,2150.5905511811025,270,top,SMD,232.28346456692913,440.9448818897638,,SW_6MM2_6MM2_SMT_4
C4,1745.0658661417324,1753.9370078740158,0,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
U61,1464.5669291338584,4697.834645669292,180,top,SMD,153.54330708661416,181.10236220472441,,SOT89-3
L5,1257.4015748031495,3812.4155511811023,270,top,SMD,109.08307086614174,51.996456692913384,100nH,0805
R21,1272.1653543307086,3551.588779527559,270,top,SMD,93.33503937007875,34.27992125984252,18R,0603
C69,1638.9484251968504,3530.511811023622,180,top,SMD,109.08307086614174,51.996456692913384,4.7uF,0805
C41,489.1732283464567,3933.0708661417325,0,top,SMD,156.3271653543307,65.77598425196851,10nF,1206
L4,1677.3342519685038,4255.905511811024,180,top,SMD,109.08307086614174,51.996456692913384,100nH,0805
C73,1980.7226377952757,3246.47062992126,270,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C47,1225.976377952756,4451.771653543307,270,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C7,1761.6488976377952,2787.4015748031497,90,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C52,1520.6692913385828,4222.44094488189,270,top,SMD,93.33503937007875,34.27992125984252,1nF,0603
R46,2231.875905511811,630.9055118110236,270,top,SMD,93.33503937007875,34.27992125984252,1.8K,0603
C61,1375.984251968504,3698.2423228346456,0,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C89,306.8757874015748,824.8031496062993,90,top,SMD,109.08307086614174,51.996456692913384,10uF,0805
D4,1986.6281496062993,1529.5275590551182,270,top,SMD,141.73228346456693,43.30708661417323,15pF,0805 (2012 metric)
C49,1072.8346456692914,4337.9728346456695,180,top,SMD,93.33503937007875,34.27992125984252,1nF,0603
R31,713.5826771653543,2173.228346456693,90,top,SMD,93.33503937007875,34.27992125984252,649R,0603
R28,130.90551181102362,2713.582677165354,0,top,SMD,93.33503937007875,34.27992125984252,10K,0603
C13,1678.7261811023623,2820.8661417322833,180,top,SMD,109.08307086614174,51.996456692913384,10uF,0805
R40,1260.8558267716535,1034.4488188976377,0,top,SMD,93.33503937007875,34.27992125984252,1.8K,0603
R56,1337.0866141732283,3551.588779527559,270,top,SMD,93.33503937007875,34.27992125984252,18R,0603
C87,910.4330708661417,724.4094488188977,90,top,SMD,93.33503937007875,34.27992125984252,10nF,0603
C21,2551.181102362205,966.3733070866142,270,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
M187,214.56692913385828,244.09448818897638,0,top,PTH,255.90551181102362,255.90551181102362,,
C92,1436.023622047244,4412.809251968504,0,top,SMD,93.33503937007875,34.27992125984252,22pF,0603
